skill,job_count
exec,37
non tech,27
education,26
finance,19
digital nomad,18
dev,17
customer support,15
sys admin,14
ops,14
c,13
engineer,13
testing,13
medical,12
marketing,11
infosec,10
golang,9
saas,9
travel,8
mobile,7
full time,7
senior,7
technical,7
vfx,7
ads,7
recruiter,6
game dev,6
legal,6
ruby,5
ecommerce,5
embedded,5
html,5
content writing,5
stats,5
video,4
consulting,4
hr,4
design,4
sales,4
api,4
part time,3
supervisor,3
node,3
typescript,3
cloud,3
backend,3
web dev,3
assembly,2
seo,2
microsoft,2
speech,2
admin,2
shopify,2
laravel,2
virtual assistant,2
firebase,2
apache,2
chatbot,2
math,2
payroll,1
excel,1
scheme,1
python,1
aws,1
gcp,1
javascript,1
react,1
writer,1
junior,1
teaching,1
data annotation,1
coordinator,1
architecture,1
docker,1
java,1
